fill_time,direction,entry,result_R,mfe_R,mae_R,RR,exit_time,TP1_R,R_abs_bps,R_abs_ATR,body_ratio,close_strength,h1_context,m15_zone
2025-11-20 10:08:00,long,91640.2,-1.2736,3.2036,1.6428,5.6346,2025-11-20 14:01:00,5.634648347635298,29.23927334447938,1.6489911644467325,0.846526655896605,0.8521809369951668,bullish,lower_edge
2025-11-21 07:26:00,long,85288.0,-1.3283,0.2165,1.0163,7.1015,2025-11-21 07:32:00,7.101508553280497,24.366264890723468,0.9983905837136773,0.320605187319878,0.6775936599423699,bearish,lower_edge
2025-11-23 14:36:00,short,86899.0,-1.2298,1.6296,1.0679,3.7066,2025-11-23 15:58:00,3.7065970787233633,34.80600631603505,1.3406522083267318,0.841086245913981,0.8413376917274228,bullish,upper_edge
2025-11-28 16:58:00,long,91052.6,-1.3615,0.1126,1.178,10.0605,2025-11-28 16:59:00,10.060539896784206,22.13226201118958,0.7458179126573082,0.3861797053330734,0.9311060385972245,bullish,lower_edge
2025-12-01 12:56:00,long,85350.0,-1.1009,1.8844,1.189,2.2702,2025-12-01 15:33:00,2.2702031612241336,79.27257511088744,2.534864054806233,0.7840117836100666,0.8905998928762764,bearish,lower_edge
2025-12-03 02:12:00,short,92465.6,-1.3279,0.5124,1.6284,6.9202,2025-12-03 02:14:00,6.9201520912550745,24.4000394277892,0.8947199954677593,0.7846188041786911,0.8250722382751822,bullish,upper_edge
2025-12-10 00:56:00,long,92199.0,-1.3395,0.7411,1.3764,7.9016,2025-12-10 01:33:00,7.901633199288407,23.561380430218634,1.238957917464465,0.8621372031662574,0.996701846965699,bullish,lower_edge
2025-12-18 02:35:00,short,86510.0,-1.201,0.9004,1.0139,2.4601,2025-12-18 04:06:00,2.460069001429433,39.798784616146314,1.9022810687082867,0.6804473059979632,1.0,bearish,upper_edge
2026-01-09 15:41:00,short,91700.0,-1.2159,4.7591,1.1846,5.5907,2026-01-12 02:47:00,5.5906665293520925,37.06130238354856,0.831907750948538,0.5808219178082391,0.9527397260274039,bearish,upper_edge
2026-01-16 15:41:00,long,94637.7,-1.2267,0.1967,1.1457,3.3698,2026-01-16 15:48:00,3.369839103669205,35.285394419228616,0.9783325660235382,0.43804243008677873,0.8811475409836004,bearish,lower_edge
2026-01-25 16:27:00,long,87825.0,-1.2119,0.9251,1.1963,3.3847,2026-01-25 18:14:00,3.384705545225627,37.74787523890814,1.8295123970199905,0.6058242329693325,0.9791991679667182,bearish,lower_edge
2026-01-31 16:48:00,long,80668.6,-1.239,0.42,1.8208,9.0624,2026-01-31 16:48:00,9.062379291916661,33.46832419482666,0.8441154138192631,0.3559980573093775,0.7852517403270162,bearish,lower_edge
2026-03-09 13:41:00,short,68760.9,-1.2139,0.2345,1.6063,5.6768,2026-03-09 13:44:00,5.676821206768212,37.40040799765135,1.1148005945008657,0.9455692001327296,0.9671423830069411,bullish,upper_edge
2026-03-13 22:14:00,long,70811.0,-1.3016,0.238,1.2936,7.4748,2026-03-13 22:17:00,7.47480816177559,26.52755726006976,1.2654316235202907,0.5014218009478121,0.9706161137440207,bearish,lower_edge
2026-03-15 02:56:00,short,71385.0,-1.2485,0.9518,1.0645,3.1469,2026-03-15 04:16:00,3.146864450509556,32.18943555568849,1.5438045877723354,0.8147520135650778,0.8757948283170681,bullish,upper_edge
2026-03-16 13:03:00,short,73867.6,-1.3073,0.6308,1.4884,5.3343,2026-03-16 13:33:00,5.334289259207133,26.030937205795542,1.1388357729080079,0.4962085308056734,0.7644549763033314,bullish,upper_edge
2026-03-24 15:00:00,long,69718.0,-1.2001,1.8732,1.5675,5.8199,2026-03-24 16:40:00,5.819921103019899,39.97010405183249,0.9790182940600585,0.47648514851485885,0.7179985855728387,bullish,lower_edge
2026-04-07 23:11:00,short,71499.9,-1.2457,0.9236,1.9421,13.68,2026-04-07 23:21:00,13.680014973504852,32.55838719454749,0.7120736743210471,0.34726256983238923,0.8391061452513966,bullish,upper_edge
2026-04-10 20:56:00,short,73244.1,-1.2669,3.6085,2.0006,4.2571,2026-04-11 18:37:00,4.257110693207317,29.973550283035184,1.6096889075101883,0.6535465354653464,0.8638786387863966,bullish,upper_edge
2026-04-12 01:57:00,long,71505.0,-1.2128,1.8418,1.879,7.5309,2026-04-12 12:53:00,7.53090258675441,37.58608289130664,1.1808775068261088,0.7142480211081718,0.988918205804757,bullish,lower_edge
